audio_index,common_name,scientific_name
0.03382045929018789,Greater Prairie-Chicken,Tympanuchus cupido
0.05355612682090831,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
0.024066605958111095,White-tailed Ptarmigan,Lagopus leucura
0.017967781908302356,Willow Ptarmigan,Lagopus lagopus
0.017208966015907448,Rock Ptarmigan,Lagopus muta
0,Siberian Grouse,Falcipennis falcipennis
0.009189311083549442,Spruce Grouse,Canachites canadensis
0.0196078431372549,Western Capercaillie,Tetrao urogallus
0.033707865168539325,Black-billed Capercaillie,Tetrao urogalloides
0.04372842347525892,Black Grouse,Lyrurus tetrix
0,Caucasian Grouse,Lyrurus mlokosiewiczi
2.4,Long-billed Partridge,Rhizothera longirostris
NA,Dulit Partridge,Rhizothera dulitensis
0.030162412993039442,Tibetan Partridge,Perdix hodgsoniae
0.01772918667356135,Gray Partridge,Perdix perdix
0,Daurian Partridge,Perdix dauurica
0.005747126436781609,Copper Pheasant,Syrmaticus soemmerringii
0.014760147601476014,Reeves's Pheasant,Syrmaticus reevesii
0.01671826625386997,Mikado Pheasant,Syrmaticus mikado
0,Elliot's Pheasant,Syrmaticus ellioti
0.0049504950495049506,Mrs. Hume's Pheasant,Syrmaticus humiae
0.03125,Golden Pheasant,Chrysolophus pictus
0.04892966360856269,Lady Amherst's Pheasant,Chrysolophus amherstiae
0.022975069127531868,Ring-necked Pheasant,Phasianus colchicus
0.020066889632107024,Green Pheasant,Phasianus versicolor
0.05580693815987934,Cheer Pheasant,Catreus wallichii
0.23076923076923078,Tibetan Eared-Pheasant,Crossoptilon harmani
0.06696428571428571,White Eared-Pheasant,Crossoptilon crossoptilon
0.08333333333333333,Brown Eared-Pheasant,Crossoptilon mantchuricum
0.04054054054054054,Blue Eared-Pheasant,Crossoptilon auritum
NA,Edwards's Pheasant,Lophura edwardsi
0.015104166666666667,Swinhoe's Pheasant,Lophura swinhoii
0.013404825737265416,Bulwer's Pheasant,Lophura bulweri
0.019560686227352894,Kalij Pheasant,Lophura leucomelanos
0.021956087824351298,Silver Pheasant,Lophura nycthemera
0.09259259259259259,Malayan Crestless Fireback,Lophura erythrophthalma
0.2,Bornean Crestless Fireback,Lophura pyronota
0.013528748590755355,Siamese Fireback,Lophura diardi
0.009009009009009009,Salvadori's Pheasant,Lophura inornata
0.031862745098039214,Malayan Crested Fireback,Lophura rufa
0.01507537688442211,Bornean Crested Fireback,Lophura ignita
1,Vietnamese Crested Argus,Rheinardia ocellata
1,Malayan Crested Argus,Rheinardia nigrescens
0.24853228962818003,Great Argus,Argusianus argus
1.25,Congo Peacock,Afropavo congensis
0.030521145469710544,Indian Peafowl,Pavo cristatus
0.008928571428571428,Green Peafowl,Pavo muticus
0.07782101167315175,Scaly-breasted Partridge,Tropicoperdix chloropus
0.08870967741935484,Chestnut-necklaced Partridge,Tropicoperdix charltonii
0.09116809116809117,Sabah Partridge,Tropicoperdix graydoni
0.13089005235602094,Crimson-headed Partridge,Haematortyx sanguiniceps
0.18781985670419651,Red Spurfowl,Galloperdix spadicea
0.04330708661417323,Painted Spurfowl,Galloperdix lunulata
0.0784313725490196,Sri Lanka Spurfowl,Galloperdix bicalcarata
0.031413612565445025,Palawan Peacock-Pheasant,Polyplectron napoleonis
0.06666666666666667,Bornean Peacock-Pheasant,Polyplectron schleiermacheri
0.5,Malayan Peacock-Pheasant,Polyplectron malacense
0.08125,Germain's Peacock-Pheasant,Polyplectron germaini
0.01639344262295082,Hainan Peacock-Pheasant,Polyplectron katsumatae
0.18344519015659955,Gray Peacock-Pheasant,Polyplectron bicalcaratum
0.006906077348066298,Mountain Peacock-Pheasant,Polyplectron inopinatum
0.11827956989247312,Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum
0.08835341365461848,Mountain Bamboo-Partridge,Bambusicola fytchii
0.2599009900990099,Chinese Bamboo-Partridge,Bambusicola thoracicus
0.2798913043478261,Taiwan Bamboo-Partridge,Bambusicola sonorivox
0.048736462093862815,Green Junglefowl,Gallus varius
0.03734632335884946,Red Junglefowl,Gallus gallus
0.31893687707641194,Gray Junglefowl,Gallus sonneratii
0.027206370272063702,Sri Lanka Junglefowl,Gallus lafayettii
1.8571428571428572,Latham's Francolin,Peliperdix lathami
0.030991735537190084,Crested Francolin,Ortygornis sephaena
0.112747723620782,Gray Francolin,Ortygornis pondicerianus
0.09386281588447654,Swamp Francolin,Ortygornis gularis
0.26506024096385544,Chinese Francolin,Francolinus pintadeanus
0.13173444560305875,Black Francolin,Francolinus francolinus
0.3269961977186312,Painted Francolin,Francolinus pictus
0.028985507246376812,Coqui Francolin,Campocolinus coqui
0.20270270270270271,White-throated Francolin,Campocolinus albogularis
0,Schlegel's Francolin,Campocolinus schlegelii
0.8333333333333334,Ring-necked Francolin,Scleroptila streptophora
